n,Number,Floor,Layout,Type, View, Square, ExSquare,TotalArea, Price AED, Price USD, target_column
1,A-001,0,1B Convertible,B,Pool,916,521,1 437,1 781 651,488 124,"1 781 651,488 124"
2,A-002,0,ST Convertible,A,Pool,418,236,654,1 095 252,300 069,"1 095 252,300 069"
3,A-003,0,ST Convertible,A,Pool,418,240,657,1 095 933,300 256,"1 095 933,300 256"
4,A-004,0,1B Convertible,A,Street,839,541,1 379,1 731 589,474 408,"1 731 589,474 408"
5,A-005,0,1B Convertible,A,Street,839,541,1 379,1 731 589,474 408,"1 731 589,474 408"
6,A-007,0,2B Convertible,A,Park,1 187,1 548,2 735,2 238 825,613 377,"2 238 825,613 377"
7,A-008,0,2B Convertible,B,Park,1 173,1 875,3 047,2 284 529,625 898,"2 284 529,625 898"
8,A-009,0,2B Convertible,B,Park,1 175,935,2 110,2 090 088,572 627,"2 090 088,572 627"
9,B-001,0,1B Convertible,A,Pool,832,610,1 443,1 749 812,479 401,"1 749 812,479 401"
10,B-002,0,3B Convertible,D,Pool,1 570,2 097,3 667,2 784 655,762 919,"2 784 655,762 919"
11,B-003,0,3B Convertible,B,Street,1 505,2 109,3 614,2 721 027,745 487,"2 721 027,745 487"
12,B-006,0,ST Convertible,A,Street,419,445,864,1 160 126,317 843,"1 160 126,317 843"
13,B-008,0,1B Convertible,A,Street,837,543,1 381,1 731 160,474 290,"1 731 160,474 290"
14,C-002,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
15,C-003,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
16,C-004,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
17,C-005,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
18,C-006,0,4B TH,TH-A,Pool,1 698,550,2 248,4 715 156,1 291 824,"4 715 156,1 291 824"
19,C-007,0,4B TH,TH-A,Pool,1 698,550,2 248,4 715 156,1 291 824,"4 715 156,1 291 824"
20,C-008,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
21,C-009,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
22,C-013,0,4B TH,TH-A,Pool,1 698,552,2 249,4 716 327,1 292 144,"4 716 327,1 292 144"
23,A-101,1,1B Convertible,B,Pool,923,70,993,1 769 718,484 854,"1 769 718,484 854"
24,A-102,1,ST Convertible,A,Pool,420,30,450,1 082 002,296 439,"1 082 002,296 439"
25,A-103,1,ST Convertible,A,Pool,420,41,461,1 091 685,299 092,"1 091 685,299 092"
26,A-104,1,1B Convertible,C,Pool,957,121,1 079,1 812 471,496 567,"1 812 471,496 567"
27,A-105,1,2B Convertible,A,Street,1 178,169,1 347,2 062 990,565 203,"2 062 990,565 203"
28,A-106,1,1B Convertible,A,Street,841,83,925,1 721 761,471 715,"1 721 761,471 715"
29,A-107,1,1B Convertible,A,Street,845,83,929,1 723 750,472 260,"1 723 750,472 260"
30,A-109,1,2B Convertible,A,Park,1 194,162,1 355,2 087 541,571 929,"2 087 541,571 929"
31,A-110,1,2B Convertible,B,Park,1 180,105,1 286,2 049 049,561 383,"2 049 049,561 383"
32,A-111,1,2B Convertible,B,Park,1 183,104,1 287,2 049 883,561 612,"2 049 883,561 612"
33,B-101,1,2B Convertible,A,Pool,1 171,62,1 233,2 024 529,554 665,"2 024 529,554 665"
34,B-102,1,3B Convertible,D,Pool,1 580,139,1 718,2 572 943,704 916,"2 572 943,704 916"
35,B-103,1,3B Convertible,B,Street,1 516,142,1 658,2 516 973,689 582,"2 516 973,689 582"
36,B-108,1,2B Convertible,C,Street,1 211,133,1 344,2 061 134,564 694,"2 061 134,564 694"
37,B-109,1,2B Convertible,A,Street,1 169,128,1 297,2 036 294,557 889,"2 036 294,557 889"
38,B-110,1,2B Convertible,A,Street,1 178,126,1 304,2 040 059,558 920,"2 040 059,558 920"
39,B-111,1,3B Convertible,A,Street,1 458,129,1 587,2 484 655,680 727,"2 484 655,680 727"
40,B-112,1,1B Convertible,C,Pool,968,125,1 094,1 819 913,498 606,"1 819 913,498 606"
41,B-113,1,1B Convertible,A,Pool,845,129,974,1 760 066,482 210,"1 760 066,482 210"
42,B-114,1,1B Convertible,A,Pool,845,93,938,1 742 005,477 262,"1 742 005,477 262"
43,B-115,1,1B Convertible,B,Pool,912,70,982,1 763 788,483 230,"1 763 788,483 230"
44,A-203,2,ST Convertible,A,Pool,420,41,461,1 095 319,300 087,"1 095 319,300 087"
45,A-205,2,2B Convertible,A,Street,1 178,169,1 347,2 072 977,567 939,"2 072 977,567 939"
46,A-209,2,3B Convertible,C,Park,1 593,171,1 765,2 600 553,712 480,"2 600 553,712 480"
47,A-210,2,2B Convertible,A,Park,1 194,162,1 355,2 097 590,574 682,"2 097 590,574 682"
48,B-201,2,2B Convertible,A,Pool,1 171,62,1 233,2 033 733,557 187,"2 033 733,557 187"
49,B-202,2,3B Convertible,D,Pool,1 580,139,1 718,2 584 280,708 022,"2 584 280,708 022"
50,B-203,2,3B Convertible,B,Street,1 515,142,1 658,2 527 859,692 564,"2 527 859,692 564"
51,B-208,2,2B Convertible,C,Street,1 211,133,1 344,2 071 505,567 536,"2 071 505,567 536"
52,B-209,2,1B Convertible,A,Street,845,60,906,1 717 925,470 664,"1 717 925,470 664"
53,B-210,2,2B Convertible,A,Street,1 169,128,1 297,2 045 913,560 524,"2 045 913,560 524"
54,B-211,2,2B Convertible,A,Street,1 178,126,1 304,2 049 730,561 570,"2 049 730,561 570"
55,B-212,2,3B Convertible,A,Street,1 458,129,1 587,2 495 122,683 595,"2 495 122,683 595"
56,B-213,2,1B Convertible,C,Pool,977,121,1 098,1 828 458,500 947,"1 828 458,500 947"
57,B-214,2,1B Convertible,A,Pool,845,129,974,1 765 848,483 794,"1 765 848,483 794"
58,B-215,2,1B Convertible,A,Pool,845,93,938,1 747 521,478 773,"1 747 521,478 773"
